,Date,CRB,Platinum,Silver,Gold,SnP,USDX,Inf
1,13-Mar,296.39,"1,575.35",28.292,"1,594.80","1,562.75",83.17,1.9
2,13-Apr,288.13,"1,506.60",24.144,"1,472.20","1,592.25",81.81,1.7
3,13-May,281.85,"1,456.75",22.228,"1,392.60","1,629.00",83.4,1.7
4,13-Jun,275.62,"1,347.00",19.451,"1,223.80","1,599.25",83.38,1.6
5,13-Jul,283.94,"1,442.95",19.617,"1,312.40","1,680.50",81.54,1.7
6,13-Aug,291.16,"1,523.45",23.463,"1,396.10","1,631.25",82.14,1.8
7,13-Sep,285.54,"1,405.05",21.656,"1,326.50","1,674.25",80.32,1.7
8,13-Oct,277.86,"1,452.00",21.832,"1,323.60","1,751.00",80.26,1.7
9,13-Nov,274.88,"1,362.80",19.981,"1,250.60","1,804.00",80.66,1.7
10,13-Dec,280.17,"1,371.00",19.339,"1,201.90","1,841.00",80.19,1.7
11,14-Jan,283.31,"1,377.90",19.105,"1,240.10","1,776.50",81.4,1.6
12,14-Feb,302.43,"1,445.90",21.204,"1,321.40","1,857.50",79.72,1.6
13,14-Mar,304.67,"1,417.45",19.734,"1,283.40","1,864.50",80.25,1.7
14,14-Apr,309.53,"1,426.95",19.119,"1,295.60","1,878.00",79.53,1.8
15,14-May,305.48,"1,453.55",18.653,"1,245.60","1,921.50",80.4,2.0
16,14-Jun,308.22,"1,486.90",21.007,"1,321.80","1,952.50",79.81,1.9
17,14-Jul,294.43,"1,464.90",20.373,"1,281.30","1,924.75",81.52,1.9
18,14-Aug,292.75,"1,424.60",19.398,"1,285.80","2,001.50",82.78,1.7
19,14-Sep,278.55,"1,293.30",17.006,"1,210.50","1,965.50",86.05,1.7
20,14-Oct,271.96,"1,237.05",16.077,"1,171.10","2,011.50",87.02,1.8
21,14-Nov,254.37,"1,189.85",15.489,"1,175.20","2,066.25",88.41,1.7
22,14-Dec,229.96,"1,209.15",15.565,"1,183.90","2,052.50",90.65,1.6
23,15-Jan,218.84,"1,240.90",17.192,"1,278.50","1,988.50",95,1.6
24,15-Feb,224.08,"1,188.70",16.513,"1,212.60","2,102.75",95.32,1.7
25,15-Mar,211.86,"1,139.55",16.581,"1,183.10","2,060.75",98.66,1.8
26,15-Apr,229.49,"1,142.35",16.124,"1,182.40","2,079.00",94.71,1.8
27,15-May,223.18,"1,111.55",16.684,"1,189.40","2,106.00",96.99,1.7
28,15-Jun,227.17,"1,079.35",15.551,"1,171.50","2,054.50",95.66,1.8
29,15-Jul,202.57,984.15,14.792,"1,094.90","2,098.50",97.44,1.8
30,15-Aug,202.09,"1,007.35",14.586,"1,131.60","1,969.25",95.85,1.8
31,15-Sep,193.76,907.75,14.566,"1,115.50","1,908.75",96.48,1.9
32,15-Oct,195.61,987.35,15.615,"1,141.50","2,073.75",97.02,1.9
33,15-Nov,182.54,832.2,14.086,"1,065.80","2,079.75",100.21,2.0
34,15-Dec,176.14,892.5,13.834,"1,060.30","2,035.50",98.75,2.1
35,16-Jan,166.75,873.05,14.267,"1,116.40","1,930.00",99.65,2.2
36,16-Feb,163.2,934.05,14.948,"1,233.90","1,929.50",98.22,2.3
37,16-Mar,170.52,976.3,15.502,"1,234.20","2,051.50",94.58,2.2
38,16-Apr,184.61,"1,080.00",17.924,"1,289.20","2,059.00",93.05,2.1
39,16-May,186.15,981.1,16.11,"1,214.80","2,095.00",95.88,2.2
40,16-Jun,192.57,"1,028.85",18.694,"1,318.40","2,090.25",96.2,2.2
41,16-Jul,181.01,"1,152.90",20.443,"1,349.00","2,168.25",95.49,2.2
42,16-Aug,180.21,"1,055.95",18.707,"1,306.90","2,169.50",96.01,2.3
43,16-Sep,186.32,"1,032.80",19.214,"1,313.30","2,160.50",95.39,2.2
44,16-Oct,186.28,981.7,17.914,"1,271.50","2,120.00",98.42,2.1
45,16-Nov,189.31,910.65,16.482,"1,170.80","2,198.75",101.54,2.1
46,16-Dec,192.51,905.65,16.042,"1,150.00","2,236.25",102.29,2.2
47,17-Jan,192.04,999.25,17.672,"1,214.50","2,274.50",99.48,2.3
48,17-Feb,190.62,"1,022.30",18.535,"1,260.20","2,362.75",101.13,2.2
49,17-Mar,185.88,953.4,18.332,"1,254.50","2,359.25",100.22,2.0
50,17-Apr,181.73,950.5,17.336,"1,271.70","2,380.50",98.9,1.9
51,17-May,179.77,949.95,17.481,"1,282.50","2,411.00",96.85,1.7
52,17-Jun,174.78,927.7,16.627,"1,249.60","2,421.00",95.42,1.7
53,17-Jul,182.64,941.65,16.786,"1,273.40","2,468.00",92.72,1.7
54,17-Aug,180.86,"1,001.25",17.48,"1,322.20","2,470.00",92.63,1.7
55,17-Sep,183.09,915.3,16.748,"1,288.90","2,516.00",92.88,1.7
56,17-Oct,187.56,921.1,16.704,"1,278.60","2,572.75",94.43,1.8
57,17-Nov,189.17,943.8,16.399,"1,281.10","2,648.00",93,1.7
58,17-Dec,193.86,934.6,16.985,"1,314.00","2,676.00",91.83,1.8
59,18-Jan,197.38,"1,005.50",17.345,"1,343.10","2,825.75",88.95,1.8
60,18-Feb,193.87,997.3,16.6,"1,332.20","2,732.75",89.77,1.8
